filename,trump_count,biden_count
2021-01-07_Rachel_Maddow_Show.txt,24,3
2021-01-08_Rachel_Maddow_Show.txt,47,6
2021-01-11_Rachel_Maddow_Show.txt,65,11
2021-01-13_Rachel_Maddow_Show.txt,18,9
2021-01-14_Rachel_Maddow_Show.txt,17,13
2021-01-18_Rachel_Maddow_Show.txt,53,36
2021-01-19_Rachel_Maddow_Show.txt,33,25
2021-01-21_Rachel_Maddow_Show.txt,27,30
2021-01-22_Rachel_Maddow_Show.txt,20,5
2021-01-25_Rachel_Maddow_Show.txt,27,12
2021-01-27_Rachel_Maddow_Show.txt,26,35
2021-01-28_Rachel_Maddow_Show.txt,10,30
2021-01-29_Rachel_Maddow_Show.txt,8,8
2021-02-01_Rachel_Maddow_Show.txt,40,19
2021-02-02_Rachel_Maddow_Show.txt,17,8
2021-02-03_Rachel_Maddow_Show.txt,30,15
2021-02-04_Rachel_Maddow_Show.txt,19,10
2021-02-08_Rachel_Maddow_Show.txt,44,9
2021-02-09_Rachel_Maddow_Show.txt,47,6
2021-02-11_Rachel_Maddow_Show.txt,67,6
2021-02-12_Rachel_Maddow_Show.txt,61,0
2021-02-16_Rachel_Maddow_Show.txt,131,22
2021-02-17_Rachel_Maddow_Show.txt,5,8
2021-02-18_Rachel_Maddow_Show.txt,16,1
2021-02-19_Rachel_Maddow_Show.txt,15,16
2021-02-24_Rachel_Maddow_Show.txt,39,26
2021-02-25_Rachel_Maddow_Show.txt,12,21
2021-02-26_Rachel_Maddow_Show.txt,12,26
2021-03-01_Rachel_Maddow_Show.txt,24,14
2021-03-02_Rachel_Maddow_Show.txt,11,17
2021-03-03_Rachel_Maddow_Show.txt,42,3
2021-03-04_Rachel_Maddow_Show.txt,4,2
2021-03-05_Rachel_Maddow_Show.txt,27,3
2021-03-08_Rachel_Maddow_Show.txt,9,1
2021-03-09_Rachel_Maddow_Show.txt,10,9
2021-03-11_Rachel_Maddow_Show.txt,5,13
2021-03-12_Rachel_Maddow_Show.txt,28,9
2021-03-15_Rachel_Maddow_Show.txt,34,13
2021-03-16_Rachel_Maddow_Show.txt,39,10
2021-03-17_Rachel_Maddow_Show.txt,2,7
2021-03-18_Rachel_Maddow_Show.txt,26,20
2021-03-23_Rachel_Maddow_Show.txt,5,13
2021-03-24_Rachel_Maddow_Show.txt,9,5
2021-03-25_Rachel_Maddow_Show.txt,38,20
2021-03-29_Rachel_Maddow_Show.txt,0,14
2021-03-30_Rachel_Maddow_Show.txt,14,7
2021-03-31_Rachel_Maddow_Show.txt,16,13
2021-04-01_Rachel_Maddow_Show.txt,18,11
2021-04-02_Rachel_Maddow_Show.txt,4,1
2021-04-05_Rachel_Maddow_Show.txt,17,27
2021-04-06_Rachel_Maddow_Show.txt,10,0
2021-04-08_Rachel_Maddow_Show.txt,9,6
2021-04-09_Rachel_Maddow_Show.txt,13,3
2021-04-12_Rachel_Maddow_Show.txt,4,11
2021-04-13_Rachel_Maddow_Show.txt,3,14
2021-04-14_Rachel_Maddow_Show.txt,1,14
2021-04-15_Rachel_Maddow_Show.txt,44,39
2021-04-16_Rachel_Maddow_Show.txt,10,22
2021-04-20_Rachel_Maddow_Show.txt,0,4
2021-04-21_Rachel_Maddow_Show.txt,0,6
2021-04-22_Rachel_Maddow_Show.txt,38,24
2021-04-23_Rachel_Maddow_Show.txt,14,10
2021-04-26_Rachel_Maddow_Show.txt,21,16
2021-04-29_Rachel_Maddow_Show.txt,17,28
2021-04-30_Rachel_Maddow_Show.txt,25,17
2021-05-03_Rachel_Maddow_Show.txt,11,24
2021-05-04_Rachel_Maddow_Show.txt,47,7
2021-05-05_Rachel_Maddow_Show.txt,23,21
2021-05-06_Rachel_Maddow_Show.txt,31,10
2021-05-07_Rachel_Maddow_Show.txt,29,20
2021-05-10_Rachel_Maddow_Show.txt,9,13
2021-05-11_Rachel_Maddow_Show.txt,33,8
2021-05-12_Rachel_Maddow_Show.txt,52,10
2021-05-14_Rachel_Maddow_Show.txt,9,5
2021-05-17_Rachel_Maddow_Show.txt,16,16
2021-05-18_Rachel_Maddow_Show.txt,23,4
2021-05-19_Rachel_Maddow_Show.txt,45,12
2021-05-20_Rachel_Maddow_Show.txt,26,12
2021-05-21_Rachel_Maddow_Show.txt,25,29
2021-05-24_Rachel_Maddow_Show.txt,30,9
2021-05-25_Rachel_Maddow_Show.txt,68,3
2021-05-26_Rachel_Maddow_Show.txt,19,9
2021-06-01_Rachel_Maddow_Show.txt,27,45
2021-06-02_Rachel_Maddow_Show.txt,28,8
2021-06-03_Rachel_Maddow_Show.txt,40,7
2021-06-04_Rachel_Maddow_Show.txt,28,5
2021-06-07_Rachel_Maddow_Show.txt,38,30
2021-06-08_Rachel_Maddow_Show.txt,68,32
2021-06-10_Rachel_Maddow_Show.txt,50,22
2021-06-11_Rachel_Maddow_Show.txt,32,6
2021-06-14_Rachel_Maddow_Show.txt,26,41
2021-06-15_Rachel_Maddow_Show.txt,30,5
2021-06-17_Rachel_Maddow_Show.txt,1,14
2021-06-18_Rachel_Maddow_Show.txt,1,16
2021-06-21_Rachel_Maddow_Show.txt,12,1
2021-06-22_Rachel_Maddow_Show.txt,13,3
2021-06-23_Rachel_Maddow_Show.txt,15,9
2021-06-25_Rachel_Maddow_Show.txt,37,2
2021-06-28_Rachel_Maddow_Show.txt,29,12
2021-06-30_Rachel_Maddow_Show.txt,26,1
2021-07-02_Rachel_Maddow_Show.txt,16,8
2021-07-07_Rachel_Maddow_Show.txt,8,21
2021-07-08_Rachel_Maddow_Show.txt,3,15
2021-07-09_Rachel_Maddow_Show.txt,25,12
2021-07-12_Rachel_Maddow_Show.txt,47,9
2021-07-13_Rachel_Maddow_Show.txt,33,32
2021-07-14_Rachel_Maddow_Show.txt,3,10
2021-07-15_Rachel_Maddow_Show.txt,17,7
2021-07-16_Rachel_Maddow_Show.txt,15,1
2021-07-19_Rachel_Maddow_Show.txt,51,2
2021-07-20_Rachel_Maddow_Show.txt,100,0
2021-07-21_Rachel_Maddow_Show.txt,49,6
2021-07-22_Rachel_Maddow_Show.txt,23,2
2021-07-23_Rachel_Maddow_Show.txt,35,12
2021-07-26_Rachel_Maddow_Show.txt,25,2
2021-07-27_Rachel_Maddow_Show.txt,5,4
2021-07-28_Rachel_Maddow_Show.txt,22,2
2021-07-29_Rachel_Maddow_Show.txt,0,8
2021-07-30_Rachel_Maddow_Show.txt,46,19
2021-08-02_Rachel_Maddow_Show.txt,17,10
2021-08-03_Rachel_Maddow_Show.txt,4,3
2021-08-04_Rachel_Maddow_Show.txt,15,8
2021-08-06_Rachel_Maddow_Show.txt,11,8
2021-08-09_Rachel_Maddow_Show.txt,35,11
2021-08-10_Rachel_Maddow_Show.txt,5,3
2021-08-11_Rachel_Maddow_Show.txt,27,2
2021-08-13_Rachel_Maddow_Show.txt,27,4
2021-08-16_Rachel_Maddow_Show.txt,3,7
2021-08-17_Rachel_Maddow_Show.txt,5,7
2021-08-19_Rachel_Maddow_Show.txt,9,3
2021-08-20_Rachel_Maddow_Show.txt,24,6
2021-08-23_Rachel_Maddow_Show.txt,23,4
2021-08-24_Rachel_Maddow_Show.txt,12,27
2021-08-25_Rachel_Maddow_Show.txt,41,11
2021-08-26_Rachel_Maddow_Show.txt,10,4
2021-08-31_Rachel_Maddow_Show.txt,4,17
2021-09-02_Rachel_Maddow_Show.txt,0,23
2021-09-08_Rachel_Maddow_Show.txt,26,5
2021-09-09_Rachel_Maddow_Show.txt,3,14
2021-09-13_Rachel_Maddow_Show.txt,29,21
2021-09-14_Rachel_Maddow_Show.txt,37,14
2021-09-15_Rachel_Maddow_Show.txt,42,5
2021-09-16_Rachel_Maddow_Show.txt,26,21
2021-09-17_Rachel_Maddow_Show.txt,15,6
2021-09-21_Rachel_Maddow_Show.txt,16,10
2021-09-22_Rachel_Maddow_Show.txt,28,20
2021-09-23_Rachel_Maddow_Show.txt,32,3
2021-09-24_Rachel_Maddow_Show.txt,44,12
2021-09-27_Rachel_Maddow_Show.txt,5,18
2021-09-28_Rachel_Maddow_Show.txt,15,10
2021-09-29_Rachel_Maddow_Show.txt,16,15
2021-09-30_Rachel_Maddow_Show.txt,26,24
2021-10-01_Rachel_Maddow_Show.txt,1,14
2021-10-04_Rachel_Maddow_Show.txt,60,7
2021-10-05_Rachel_Maddow_Show.txt,6,13
2021-10-06_Rachel_Maddow_Show.txt,4,5
2021-10-07_Rachel_Maddow_Show.txt,4,6
2021-10-08_Rachel_Maddow_Show.txt,63,4
2021-10-11_Rachel_Maddow_Show.txt,30,1
2021-10-13_Rachel_Maddow_Show.txt,45,11
2021-10-14_Rachel_Maddow_Show.txt,46,5
2021-10-15_Rachel_Maddow_Show.txt,35,16
2021-10-19_Rachel_Maddow_Show.txt,42,3
2021-10-22_Rachel_Maddow_Show.txt,18,10
2021-10-26_Rachel_Maddow_Show.txt,32,7
2021-10-27_Rachel_Maddow_Show.txt,27,23
2021-10-28_Rachel_Maddow_Show.txt,15,9
2021-10-29_Rachel_Maddow_Show.txt,47,18
2021-11-01_Rachel_Maddow_Show.txt,29,11
2021-11-03_Rachel_Maddow_Show.txt,27,10
2021-11-05_Rachel_Maddow_Show.txt,8,23
2021-11-08_Rachel_Maddow_Show.txt,46,11
2021-11-10_Rachel_Maddow_Show.txt,14,1
2021-11-11_Rachel_Maddow_Show.txt,2,4
2021-11-12_Rachel_Maddow_Show.txt,18,5
2021-11-15_Rachel_Maddow_Show.txt,33,28
2021-11-17_Rachel_Maddow_Show.txt,44,13
2021-11-18_Rachel_Maddow_Show.txt,5,13
2021-11-19_Rachel_Maddow_Show.txt,4,15
2021-11-22_Rachel_Maddow_Show.txt,45,4
2021-11-24_Rachel_Maddow_Show.txt,2,5
2021-11-25_Rachel_Maddow_Show.txt,1,5
2021-11-29_Rachel_Maddow_Show.txt,34,3
2021-11-30_Rachel_Maddow_Show.txt,37,6
2021-12-01_Rachel_Maddow_Show.txt,35,1
2021-12-02_Rachel_Maddow_Show.txt,17,3
2021-12-06_Rachel_Maddow_Show.txt,56,27
2021-12-07_Rachel_Maddow_Show.txt,13,7
2021-12-08_Rachel_Maddow_Show.txt,23,14
2021-12-09_Rachel_Maddow_Show.txt,55,14
2021-12-10_Rachel_Maddow_Show.txt,25,1
2021-12-13_Rachel_Maddow_Show.txt,51,5
2021-12-14_Rachel_Maddow_Show.txt,38,5
2021-12-15_Rachel_Maddow_Show.txt,25,10
2021-12-16_Rachel_Maddow_Show.txt,20,40
2021-12-17_Rachel_Maddow_Show.txt,52,1
2021-12-18_Rachel_Maddow_Show.txt,38,1
2021-12-20_Rachel_Maddow_Show.txt,4,5
2021-12-21_Rachel_Maddow_Show.txt,27,16
2021-12-22_Rachel_Maddow_Show.txt,46,4
2021-12-23_Rachel_Maddow_Show.txt,18,3
2021-12-24_Rachel_Maddow_Show.txt,4,8
2021-12-28_Rachel_Maddow_Show.txt,6,4
2021-12-29_Rachel_Maddow_Show.txt,3,12
2021-12-30_Rachel_Maddow_Show.txt,6,15
2021-12-31_Rachel_Maddow_Show.txt,3,7
2022-01-03_Rachel_Maddow_Show.txt,50,0
2022-01-05_Rachel_Maddow_Show.txt,42,5
2022-01-06_Rachel_Maddow_Show.txt,12,3
2022-01-07_Rachel_Maddow_Show.txt,15,10
2022-01-10_Rachel_Maddow_Show.txt,30,13
2022-01-11_Rachel_Maddow_Show.txt,29,26
2022-01-12_Rachel_Maddow_Show.txt,29,8
2022-01-14_Rachel_Maddow_Show.txt,24,13
2022-01-17_Rachel_Maddow_Show.txt,25,1
2022-01-19_Rachel_Maddow_Show.txt,50,11
2022-01-24_Rachel_Maddow_Show.txt,17,8
2022-01-25_Rachel_Maddow_Show.txt,5,9
2022-01-27_Rachel_Maddow_Show.txt,2,44
2022-01-31_Rachel_Maddow_Show.txt,32,1
2022-02-01_Rachel_Maddow_Show.txt,44,1
2022-02-03_Rachel_Maddow_Show.txt,48,9
2022-02-07_Rachel_Maddow_Show.txt,44,10
2022-02-08_Rachel_Maddow_Show.txt,45,7
2022-02-09_Rachel_Maddow_Show.txt,54,9
2022-02-10_Rachel_Maddow_Show.txt,51,11
2022-02-15_Rachel_Maddow_Show.txt,18,4
2022-02-16_Rachel_Maddow_Show.txt,37,14
2022-02-17_Rachel_Maddow_Show.txt,97,3
2022-02-22_Rachel_Maddow_Show.txt,45,9
2022-02-23_Rachel_Maddow_Show.txt,18,17
2022-02-25_Rachel_Maddow_Show.txt,0,5
2022-02-28_Rachel_Maddow_Show.txt,3,5
2022-03-02_Rachel_Maddow_Show.txt,22,2
2022-03-04_Rachel_Maddow_Show.txt,0,1
2022-03-07_Rachel_Maddow_Show.txt,2,3
2022-03-08_Rachel_Maddow_Show.txt,25,5
2022-03-09_Rachel_Maddow_Show.txt,12,2
2022-03-10_Rachel_Maddow_Show.txt,0,3
2022-03-11_Rachel_Maddow_Show.txt,0,1
2022-03-14_Rachel_Maddow_Show.txt,0,2
2022-03-15_Rachel_Maddow_Show.txt,2,2
2022-03-17_Rachel_Maddow_Show.txt,0,1
2022-03-21_Rachel_Maddow_Show.txt,0,2
2022-03-22_Rachel_Maddow_Show.txt,1,4
2022-03-23_Rachel_Maddow_Show.txt,17,11
2022-03-28_Rachel_Maddow_Show.txt,20,30
2022-03-29_Rachel_Maddow_Show.txt,16,1
2022-03-30_Rachel_Maddow_Show.txt,0,5
2022-03-31_Rachel_Maddow_Show.txt,12,4
2022-04-01_Rachel_Maddow_Show.txt,5,0
2022-04-05_Rachel_Maddow_Show.txt,26,10
2022-04-06_Rachel_Maddow_Show.txt,4,2
2022-04-07_Rachel_Maddow_Show.txt,14,2
2022-04-08_Rachel_Maddow_Show.txt,0,1
2022-04-11_Rachel_Maddow_Show.txt,26,1
2022-04-12_Rachel_Maddow_Show.txt,25,2
2022-04-13_Rachel_Maddow_Show.txt,16,0
2022-04-14_Rachel_Maddow_Show.txt,14,0
2022-04-15_Rachel_Maddow_Show.txt,31,3
2022-04-19_Rachel_Maddow_Show.txt,16,3
2022-04-20_Rachel_Maddow_Show.txt,19,0
2022-04-21_Rachel_Maddow_Show.txt,86,3
2022-04-25_Rachel_Maddow_Show.txt,50,6
2022-04-26_Rachel_Maddow_Show.txt,28,9
2022-04-27_Rachel_Maddow_Show.txt,85,7
2022-04-28_Rachel_Maddow_Show.txt,21,6
2022-04-29_Rachel_Maddow_Show.txt,25,7
2022-05-02_Rachel_Maddow_Show.txt,2,2
2022-05-09_Rachel_Maddow_Show.txt,11,5
2022-05-10_Rachel_Maddow_Show.txt,10,6
2022-05-16_Rachel_Maddow_Show.txt,2,5
2022-05-17_Rachel_Maddow_Show.txt,2,4
2022-05-23_Rachel_Maddow_Show.txt,13,1
2022-06-06_Rachel_Maddow_Show.txt,17,5
2022-06-07_Rachel_Maddow_Show.txt,18,5
2022-06-14_Rachel_Maddow_Show.txt,96,0
2022-06-15_Rachel_Maddow_Show.txt,12,0
2022-06-20_Rachel_Maddow_Show.txt,65,6
2022-06-22_Rachel_Maddow_Show.txt,45,3
2022-06-23_Rachel_Maddow_Show.txt,47,2
2022-06-24_Rachel_Maddow_Show.txt,2,1
2022-06-27_Rachel_Maddow_Show.txt,25,3
2022-06-28_Rachel_Maddow_Show.txt,22,3
2022-07-11_Rachel_Maddow_Show.txt,36,0
2022-07-12_Rachel_Maddow_Show.txt,37,0
2022-07-18_Rachel_Maddow_Show.txt,23,1
2022-07-26_Rachel_Maddow_Show.txt,20,1
2022-08-01_Rachel_Maddow_Show.txt,12,8
2022-08-02_Rachel_Maddow_Show.txt,11,9
2022-08-08_Rachel_Maddow_Show.txt,35,6
2022-08-16_Rachel_Maddow_Show.txt,45,10
2022-08-22_Rachel_Maddow_Show.txt,37,6
2022-08-29_Rachel_Maddow_Show.txt,28,0
2022-08-30_Rachel_Maddow_Show.txt,32,0
2022-09-12_Rachel_Maddow_Show.txt,69,2
2022-09-27_Rachel_Maddow_Show.txt,14,0
2022-10-10_Rachel_Maddow_Show.txt,3,7
2022-10-24_Rachel_Maddow_Show.txt,8,3
2022-10-31_Rachel_Maddow_Show.txt,53,3
2022-11-14_Rachel_Maddow_Show.txt,23,2
2022-11-22_Rachel_Maddow_Show.txt,23,0
2023-01-02_Rachel_Maddow_Show.txt,11,5
2023-01-09_Rachel_Maddow_Show.txt,41,15
2023-01-10_Rachel_Maddow_Show.txt,32,12
2023-01-16_Rachel_Maddow_Show.txt,15,14
2023-01-24_Rachel_Maddow_Show.txt,13,0
2023-01-30_Rachel_Maddow_Show.txt,68,0
2023-02-06_Rachel_Maddow_Show.txt,53,1
2023-02-07_Rachel_Maddow_Show.txt,54,1
2023-02-28_Rachel_Maddow_Show.txt,0,3
2023-03-06_Rachel_Maddow_Show.txt,20,4
2023-03-13_Rachel_Maddow_Show.txt,11,5
2023-03-14_Rachel_Maddow_Show.txt,13,6
2023-03-20_Rachel_Maddow_Show.txt,51,0
2023-03-31_Rachel_Maddow_Show.txt,52,1
2023-04-17_Rachel_Maddow_Show.txt,2,0
2023-05-01_Rachel_Maddow_Show.txt,0,4
2023-05-02_Rachel_Maddow_Show.txt,0,4
2023-06-05_Rachel_Maddow_Show.txt,25,13
